instagram_comments,offensive_language,offensiveness_levels,hate_speech
Realmente a hipocrisia está estampada na cara de pau 👎👎👎👎,1,3,-1
Ridícula vai cuidar da sua vida,1,2,-1
Deve ter pena dela quando descobrir os podre dela essa imoral,1,1,-1
Velha cretina,1,2,-1
"Da esquerda não se aproveita nada, seja ela de qualquer país!",1,1,5
Hipócrita🤬,1,2,-1
Horrorosa vaca suja,1,3,8
"Pena eu não tenho de vc corrupta, qdo for presa 👊",1,2,-1
CANALHA 🤮,1,3,-1
FDP,1,3,-1
Hipocrisia esquerdopata oportunista,1,3,5
E nós sentimos ranço dela! Ela pode guardar a pena dela pra ela na mesma conta que o Lula mandou o dinheiro.,1,2,-1
🇧🇷💪💪💪Bandidagem safados Globolixo globonewslixo mídia lixo nojenta apátridas,1,3,-1
#Vagabunda,1,2,8
Falsa!!!! Que nem nota de $30!!!!🤪🤪🤪,1,1,-1
Esquerdista ordinária e safada,1,3,"5,8"
Cretina,1,2,-1
"Enquanto a Bachelet comia toco do PT, estava caladinha.",1,3,5
Safada sem vergonha ! Velha asquerosa !🤮,1,3,8
Cara de@pau😡😡😡😡,1,2,-1
Quem é essa ? Vai te catar...,1,2,-1
Safada😡,1,2,8
Safada🤢🤢🤢,1,2,8
Lixo ideológico,1,2,-1
Hipócrita!,1,2,-1
"Esses camaradas são tinhosos dimais, quando o venha a nós acaba, começam a criticar, falar mal do vosso reino! Pessoas que agem assim são imbecis para não dizer vampiros!",1,2,-1
Pois é deveria ter pena da própria ignorância.,1,1,-1
"Vagabunda,Ordinária",1,3,8
"Maldita, quadrilha do PT é grande viu💩💩💩",1,3,5
Vou mandar um óleo de peroba pra ela de presente! 😂😂😂😂,1,1,-1
Mulherzinha cara de pau🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮,1,3,8
Porque é corrupta é conivente com o desgoverno anterior,1,2,-1
SAFADA,1,2,8
A cada dia fico mais admirado com a cara de pau da elite dominante desse mundo até quando irão nos fazer de otários,1,2,-1
"Vá ter pena da puta que a pariu, corrupta",1,3,-1
Que nojo!🤮🤮🤮🤮🤮,1,2,-1
Piada esse tipo de gente !,1,1,-1
"Comunista ladrona, padrão PT pissol PCdoB LULAPRESIDIARIO DILMATERRORISTA",1,3,5
"Porque Bachelet faz parte da esquerda Hipócrita da América latina. Pergunte se ela tem pena de Cuba, Nicarágua ou da Venezuela. #MicheleBacheletHipócrita",1,2,5
"Vai te catar ,cuida do teu país,o Brasil tem quem cuide🙏🇧🇷",1,2,-1
Canalha vagabunda amiga de ditaduras,1,3,8
Essa gentalha tirando uma de vítima. Vão derrubar Já já. Coitados. Deus é Deus!,1,2,-1
Sua TONTA SAFADA,1,3,8
Mentirosa enganadora 👎👎👎,1,3,-1
Cachorra safada o Brasil tá sob nova direção,1,3,8
A mim ela eh similar aquelas moças que ficam na rodovia que trocam serviços por $. Sem tirar nem por...,1,1,8
🤣 Comunista...,1,2,5
#foracomunismosocialismo🤬😠😡👊👊👊,1,1,5
Aff ranso desses corruptos,1,2,-1
Bandida como todos esquerdopatas,1,3,5
Senhora Michele Bachelet!,1,3,-1
"Velha cretina, vai cuidar do seu país..ah não te querem lá. Então vai pro inferno coisa ruim.",1,3,-1
Toma distraída!!!,1,1,-1
Velha idiota comunista e corrupta .,1,3,5
Demagoga se locupletando com dinheiro de propina,1,2,-1
Porque é bandida igualmente a o presidiário cachaceiro do Lula,1,3,-1
LADRA,1,2,-1
Eu tenho pena é de você não ter sido da época do grande General Pinochet que lamentavelmente deixou sobrar este resquício de desgraça.,1,1,2
Fdp,1,3,-1
Cai fora o Brasil não precisa de você,1,1,-1
tá se revelando! corrupta ...nesse governo a gente tá realmente vendo quem é honesto e quem no presta!,1,2,-1
Falou...Bacheria. . ...Brcelet.... ou seja lá como queira ser chamada sua raposa velhaca.,1,2,-1
Bandidona e pilantrona o leitinho acabou,1,3,-1
Hipooooooócrita essa senhoura...,1,2,-1
Exato! Ela é um escrota!,1,2,-1
Hipócrita,1,2,-1
Outra pilantra!,1,2,-1
Pilantra,1,2,-1
Hipócrita!,1,2,-1
Farinha do mesmo saco nojo desses políticos,1,2,-1
Essa senhora é uma currupta igual seus amiguinhos do PT.,1,2,5
"Cada coisa que aparece!!! Internacionarizaram a propina e a corrupção!!! Agora tem pena do Brasil, tem que ter pena dela mesmo, afinal ficou sem os recursos ilícitos!!!",1,2,-1
Devolva o dinheiro,1,1,-1
Pq. ELa é SAFADA igual ao 9 dedos. 😲😲,1,2,"5,8"
Terrorista FDP,1,3,-1
Hipócrita 💩💩💩💩,1,2,-1
Sem noção sobre o Brasil e uma corrupta 👎👎👿👿👿,1,2,-1
Pena dessa senhorinha...,1,1,-1
LADRA,1,2,-1
"Houve um tempo atrás que o Brasil recebeu milhares de chilenos, que veio arrumar emprego aqui no Brasil e os brasileiros os receberam de braços abertos, mas, o mundo e o povo é assim esquece rápido o bem que o outro fez! Mas, essa comunista está se achando, mas, é uma tremenda corrupta.",1,2,5
"VOCÊ TINHA DE TER PENA É QUANDO VÁRIOS BRASILEIROS MORRERAM NOS CORREDORES DOS HOSPITAIS PÚBLICOS POR CAUSA DAS ROUBALHEIRAS DOS CURRUPTOS, MAS VOCÊ VELHA CANALHA TAMBÉM FAZIA PARTE DO ESQUEMA SEGUNDO Á OAS 🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀.",1,3,-1
"Pois é, nojenta!!",1,2,-1
Quem quer saber oq vc pensa comunista corrupta vc deveria estar na cadeia !,1,3,5
"Enfia a sua pena no seu rabo, velha nojenta",1,3,-1
A única coisa que no momento a esquerda faz é rosnar!!,1,1,5
OQUE BACHELE FALA NÃO TEM VALOR!!! KKKK A PESSOA QUE SE ENVOLVE COM MARACUTAIA PARA ROUBAR UM POVO PERDE SEU VALOR E PRONTO ACABOU!!!,1,2,-1
"Ela que cuidado quintal da própria casa, já que está sujos com dinheiro de propina!!",1,2,-1
"A resposta para um senhora desse , já que o dinheiro não vai ser devolvido. É um grande VA SE LASCAR, esquece o BRASIL e vá cuidar dos seus problemas",1,2,-1
JA DIZIA O SANTO JOÃO BATISTA:HIPOCRITAS!!!!! RAÇA DE VIBORAS!!!ENDIREITAI OS CAMINHOS.O Messias vem,1,3,-1
Nossa mostre sua compaixão devolvendo o dinheiro que recebeu do MOLUSCO,1,1,5
Pilantra,1,2,-1
Essa safada... Dinheiro ela gosta né? Não tem pena de roubar do Brasil!,1,3,8
😅😅😅😅😅😅😅😅😅😅😅😅 bandida,1,2,-1
"Ah tá com pena?!Diz para ela vim doar alimento e roupas para os asilos,orfanatos e desabrigados ,hospitais que por conta das propinas que receberam esses lugares estão com deficiência de tudo,isso PR não mandar ele para Vênus!!",1,2,-1
"Sim, ela tem penas.......com certeza",1,1,8
OH BACHELET RECEBEU PROPINA DA OAS ENTÃO NÓS BRASILEIROS PATRIOTAS ESTAMOS ENTENDENDO A SUA TRISTESA ACABOU A SUA MAMATA CANALHAS,1,3,-1
Lixo,1,1,-1
"PORQUE É PORCA DO MESMO LODO,",1,1,"3,8"
Canalha,1,3,-1
Essa Brochelet tem cara de corrupta da quadrilha lulaladrão.,1,2,5
Secou a fonte pilantra. Devia estar na cadeia. Esquerdista cara de pau,1,3,5
ACABOU A MAMATAAA!!!✨🇧🇷✨,1,2,-1
Velha ridícula e bandida!! Parece uma porca,1,3,"3,8"
CLARO QUE TEM PENA PORQUE ELA JUNTO COM O LULADRÃO SUGARAM O POVO DEVERIA TER VERGONHA NA CARA E DEVOLVER O DINHEIRO QUE LEVOU,1,3,5
"Esquerdopatas mentem para ver se vira verdade, isso é o lema deles.",1,2,5
SÓ SENTE PENA SE FOR REMUNERADA PRA ISSO...NÃO PRECISAMOS QUE ESSA GENTE SINTAM PENA DO NOSSO PAÍS...E SIM QUE SE AFASTEM DELE E DO NOSSO DINHEIRO...,1,1,-1
Sim porque??? É muita hipocrisia. E a propina...,1,2,-1
Ta com pena? Devolve a propina,1,2,-1
Comunista hipócrita nojento lixos,1,3,5
POIS É DEVERIA DEVOLVER O DINHEIRO AOS COFRES PÚBLICOS DO Brasil.,1,1,-1
Outra canalha.,1,3,-1
Porque ela não era “paga” pra sentir pena e sim para contribuir e usufruir dos roubos.,1,1,-1
essa imbecil falando e o cachorro cagando e a mesma coisa,1,3,-1
Pois ela é uma sem vergonha😩,1,2,-1
Esse povo de esquerda é asqueroso e corruptos,1,3,5
Que cara CÍNICA,1,2,-1
Cretina.,1,3,-1
"Pois é @carla.zambelli esta senhora pena do Brasil .... ela tem é sangue nas mãos de uma nação pois dinheiro de corrupção mata cidadão de bem dinheiro este que é desviado de segurança, saúde e educação esse tipo de gente classifico como genocida pois acabam com nações inteiras por um ideal onde eles ficam ricos dominam as pessoas como escravos ... diria que até pior que terroristas pois terroristas matam em nome da “religião” não que algo justifique mas chega ser pior ... corruptos safados ....😡😡😡😡 que Deus nos livre desta cambada que articula em tempo integral a nova destruição ...🙏🇧🇷🇧🇷🇧🇷🇧🇷",1,2,-1
Propineira com pena pq a mamata acabou.... 🤮🤮,1,2,-1
Ela tem pena agora pq não tá recebendo mais propinas. Bandida.,1,2,-1
Cala essa boca sua vaca velha vai para Venezuela,1,3,8
Porque é bandido da organização criminosa do luladrao. Não aceita nosso presidente Bolsonaro. E melhor aceita que dói menos😂,1,2,5
"E uma coitada , não tem credibilidade aqui nao",1,1,-1
"Que lixo, heim????",1,1,-1
Mande essa nojenta pra Cuba.,1,2,-1
Parece que para atuar na #ONU precisa ter postura e comportamento #desprezível #hipócrita #falsidade.,1,2,-1
@veronica_michelle_bachelett e a propina recebida pela OAS teve pena quando recebeu? #hipocrita #oportunista #voltapromaroferenda,1,2,-1
Vagabunda ordinária velha dó capeta vai cuidar da sua bunda velha esclerosada,1,3,8
"Ela não teve pena do Brasil quando Cuba ininteruptamente tentou interferir na nossa democracia. Amiga de comunistas sujos. Amiga de Fidel Castro, um rato ditador e assassino que hoje ocupa um cargo na ONU que não condiz com seu caráter e nem com suas convicções políticas.",1,2,5
O BRASIL ESTÁ COM BOLSONARO. VAI PARA A VENEZUELA. LIXO.,1,1,-1
Porque ela é uma ladra morfética,1,2,-1
Barchelet vai catar coco . Esquece nosso povo.,1,1,-1
DONA BACHELET A SENHORA DEVIA TER PENA E VERGONHA NA CARA VIM ROUBAR DINHEIRO DO POVO BRASILEIRO QUE FALTA DE VERGONHA SENHORA BACHELET,1,2,-1
Ou quando o Brasil estava sendo saqueado pelo PT? ?,1,1,5
Safada !! ONU não vale nada!!,1,2,8
Essa vagabunda devia ter pena é da propina que ela levou que tirou de um hospital inteiro do Brasil,1,2,8
Esquerdista dos inferno.,1,2,5
"Sai fora vaga, vagaba",1,3,8
Falsa!!!,1,1,-1
Uma safada sem caráter.,1,3,8
Essa aí é uma maior 171,1,1,-1
Que ela enfie a pena dela no $%$@&^ ... devolva nosso dinheiro isso sim. 🤔🤔,1,1,-1
Essa ja fez parte da quadrilha,1,1,-1
Hipócrita esta senhorinha bachelet,1,2,-1
Sem vergonha trate do seu País o nosso temos Bolsonaro@,1,2,-1
Porquê ela é uma velha escrota de MERDA.. só isso,1,3,-1
Que devolva a propina e pare de se meter onde nao foi chamada brachelenta!,1,2,-1
"Vagabunda, roubou o Brasil agora tá com pena, vá se fuder",1,3,8
"Pena porque não vai mais roubar nosso Brasil, sua quenga velha",1,3,8
Conheco uma vagabunda de longe!!! 💩💩💩,1,2,8
Pilantra vadia,1,3,8
Que devolva o dinheiro 💰,1,1,-1
Vagabunda fingida...,1,3,8
Bachelet está com pena é dela não receber mais dindin dos nossos impostos. Hipócrita corrupta!...😎😎😎😎,1,2,-1
Hipocrisia Pura😡😡,1,2,-1
Veia safada.,1,2,8
Pois é.... A pena dela é exatamente pq não vai mais receber propina,1,2,-1
Tranqueira!!!,1,2,-1
#maiatraidordapatria,1,2,-1
Rapariga,1,1,8
Vagabunda,1,2,8
"Velha sem vergonha, vagabunda !",1,3,8
"Não precisamos da pena de ninguém ,ainda mais dessa desqualificada ,guarde ela ,as muitas penas que tem pra si mesma 🐔, #Bolsonaro2022 ,sem mais .....",1,1,8
A fonte secou! Não tem mais propininha!😂😂😂😂,1,2,-1
Ladra,1,2,-1
É comunista! Voces acham que ela não é igual ao ladrões do pt?,1,2,5
Safada,1,2,8
Lixooo!!,1,1,-1
Cahorrona,1,2,8
"Que mulher babaca! Vai cuidar do seu Chile, estúpida!",1,2,-1
"Pena do Brasil??? O qué será que pensa essa corrupta, tentando dar uma de pessoa íntegra, correta, quando não passa de uma vigarista! 😠🤔😠",1,3,-1
Safadona,1,2,8
"Será que vai querer devolver o dindin da propina,😂😂",1,2,-1
Esse lixo tem pena e da propina que andava ganhando ilicitamente,1,2,-1
"Percebem que , todo bandido no final de sua gestão , é convidado para trabalhar na ONU ! Porque será ???!",1,2,-1
Bruxa ladra dozinferno 🔥,1,3,8
É outra HIPÓCRITA 😔😔😔,1,2,-1
É a bandida defendendo os colegas de bandidagem.,1,2,-1
Essa é uma canalha esquerdopata! Nós brasileiros não precisamos de suas condolências! Bandida!,1,3,5
Essa é pior que o pai.,1,1,-1
Pena da de vc devolva o que nunca foi teu,1,1,-1
Devia ter pena? Ela tem agora pq não tem parceria na corrupção...,1,1,-1
Que mulher nojenta,1,2,-1
Além de desonesta e metida a boa de sela,1,3,-1
Pena porque não tem milhões para sua conta mais não é tranbiqueira.,1,2,-1
Num é ?,1,1,-1
Quem quer saber a opinião dela?,1,1,-1
Dissimulada! Agora ela sabe que a mamata acabou! Governo Bolsonaro colocando todos no devido lugar!Sem corrupção a bandidagem chora!,1,2,-1
"pois é, né? O dinheiro da OAS fez com que ela esquecesse de ter pena do Brasil. Muito cínica.",1,2,-1
"Velhinha safada senil, alguém faça a gentileza de calar esses canalhas, já não suporto mais nem ver a cara desses hipócritas, Bachelet, Macron, Maduro, os petralhas e por aí vai",1,3,"5,8"
Essa vagabunda não tem que falar nada!,1,2,8
Tem cara de bandida,1,2,-1
💚💛pena do Brasil ou saudade da bagaçeira.,1,2,-1
"😂😂 abstinência de propina faz isso, cria até pena kkkk",1,2,8
Pq é uma PILANTRA do mesmo NÍVEL BAIXO de LULADRÃO E DIMANTA!,1,3,5
Hipocrita,1,2,-1
"E outra coisa, quem perguntou a opinião dela? O que nos interessa? VAZA OMELETE PODRE",1,3,-1
"Deixe de hipocrisia, comedora de propina.Você deve tá sentindo falta é do dindo que não está caindo mais na sua conta.",1,2,-1
É uma idiota! Não precisamos da pena dela...,1,2,-1
Ela que legue a pena dela e faça um travesseiro pra ver se consegue dormir depois de ter aceitado dinheiro sujo.,1,1,-1
Viver do comunismo é triste!! Uma hora o dinheiro acaba e você vai ter que trabalhar...!😡👊🏾😎🇧🇷🙏🏻,1,1,5
Uma mulher dessa idade já deveria ter aprendido a ter vergonha na cara.,1,2,-1
"Essa esquerdopata imbecil não consegue ser ouvida nem no Chile, sua terra!",1,2,5
Q velha ordinária!! A Esquerdalha tem todos a mesma face!!🤮🤮🤮,1,3,5
Hipocrisia,1,2,-1
"Por isso que SSA senhora defende o PT, e ela me dá NOJO.",1,1,5
Porque é suja e adora dinheiro alheio,1,1,-1
É apenas mais uma vagabundos.,1,2,-1
"Coisa feia, vai cuidar da sua casa,",1,1,-1
😂😂 Ela é galinha! Pena?! Q é isso!?,1,1,8
Clínica. Faz parte da esquerda demoníaca.,1,3,5
Velha gagá FDP,1,3,-1
Propineira1,1,2,-1
Cara de pau,1,2,-1
Mas é falsa hein?Acabou a mamata.quer dinheiro vá trabalhar.,1,2,-1
Ela é muito espuma. Fica em cima do muro e vai para onde o vento sopra ( biruta),1,2,-1
Porque é LADRA!!,1,2,-1
Canalha!!,1,3,-1
"Hipócrita,vai procurar tua turma. O BRASIL não precisa da tua pena.",1,2,-1
Receber propina não te envergonha Bachelet? #BolsonaroPresidente2022🇧🇷,1,2,-1
😡Ridícula,1,2,-1
Cara pálida devolve o dinheiro a propina para o Brasil então,1,2,-1
Nojenta! Lava a boca pra falar do nosso Presidente!,1,2,-1
Hipócrita,1,2,-1
Ah tá com pena? Devolve o dinheiro do 🇧🇷,1,1,-1
Vaca,1,1,8
Eu que tenho pena dessa mulher feia e de um caráter duvidoso.,1,2,8
Cara de pau 😠,1,2,-1
💩💩💩💩 É isso que essa louca fala!🖕🖕,1,1,-1
Dispensamos sua pena sra Michele Bachelet.Temos misericórdia dos pobres de espírito que manipulam os pobres.,1,1,-1
E quando recebeu dinheiro ilegal de propina e portanto de nossos impostos suados? Hipócrita.,1,2,-1
Pena pq a boquinha secou né sua socialista de merda!!!! 👊🏻👊🏻👊🏻,1,3,5
"Coitadinha, ninguém liga pra ela",1,2,-1
Hipócrita! Esquerda Nunca Mais!,1,2,5
"Quando ouvimos uma sujeita dessas 💩 falando assim é sinal que estamos no caminho certo. Ela gostava do Brasil quando recebia mesada, dinheiro fruto de roubo.",1,1,-1
Tenha pena de você mesma imbecil!!🤬,1,2,-1
Ninguém está preocupado com a pena dela. É melhor ela cuidadar do pais dela .,1,1,-1
C Í N I C A,1,2,-1
"Otária, BABACA.",1,3,-1
"Se ela acha tão bacana o socialismo porque não vai morar na Venezuela, Cuba ou Coreia do Norte? Hipocrisia!!!!",1,2,5
Vagabunda safada👊👊👊,1,3,8
"Cínica , não tem o que dizer e fica falando abobrinha",1,2,-1
É típico dessa gente a cara de pau!!!🤢,1,2,-1
"Ela teria que ter pena qndo tirou dos hospitais do Brasil,pra continuar defendendo bandidos!!!",1,2,-1
"Isso é caso de polícia, de FBI ,de CIA para esta vigarista ladra igual a DILMA e a CRISTINA KIRCHNER da ARGENTINA.CRIME ORGANIZADO.",1,3,-1
Pilantra comunista oportunista,1,3,5
"Bachelet, não tem o que fazer?Sugestão: vau catar coquinho!!!",1,1,-1
Hipócritas,1,2,-1
O que dizer além de vaca véia ??? E no pior sentido da palavra.,1,2,8
"Vai cuidar do seu quintal, que o nosso a gente cuida,,corrupta😤",1,2,-1
Comunista vagabunda,1,3,"5,8"
Cretina Hipócrita!,1,3,-1
Porque ela também é BANDIDA,1,2,-1
Pq é uma safada,1,2,8
Pq é criminosa do foro de São Paulo !,1,1,-1
Cara horrorosa dessa senhora,1,2,-1
Só defende Lula por ser igual a ele...corrupta.,1,2,5
Credo,1,2,-1
Outra esquerdista cara de pau! Não basta os do Brasil! 😡,1,2,5
Que bom que ela tem pena do Brasil 🇧🇷 assim ela já pode dividir com a população brasileira a propina que recebeu da OAS.,1,2,-1
"Bandida, safada, comunista e corrupta!!! Fora do Brasil!! Lixo!!!",1,3,"5,8"
"Enquanto não se revela os podres desses ladrões da nossa pátria todos tem alguma coisa para falar, quero ver agora.",1,2,-1
Essa puta não tem dó da Venezuela???,1,2,8
Penalizada tem que estar do povo Venezuelano e envergonhada por receber propina😱,1,2,-1
LIXO. Lixo iDIOTA.,1,3,-1
Hipócrita,1,2,-1
A ONU é pior esquerda que temos no mundo atualmente.,1,1,5
"🇧🇷 Vergonha mundial, não tem moral pra falar nada do Brasil.",1,2,-1
Velha canalha,1,3,-1
Vagabunda! Sem vergonha!,1,3,8
Hipócrita 🤬🤬🤬,1,2,-1
Cara de pau!,1,2,-1
"O que essa bandida corrupta ta falando do presidente, velha idiota.",1,3,-1
Carra de pau 😠,1,2,-1
É que o dindin pra ela acabou 😂😂😂,1,1,-1
"Corrupta, formiga e ladrão tem em todo lugar, até na ONU.",1,2,-1
"Essa ridícula aí, tinha que pedir desculpa ao nosso presidente",1,2,-1
Hipócrita,1,2,-1
"Sério???? Engraçado que quem invadiu a Polônia foram os Nazistas. Você estava comemorando isso???? A invasão???? Fascista que fala, né!!!",1,1,5
"Celebrar a morte de milhões de judeus? Estúpido, nojento",1,2,-1
NAZISTA SAFADO FILHO DA PUTA! VAI DOUTRINAR CRIANÇA NA PUTA QUE TE PARIU,1,3,-1
Seu doente! A invasão da Polônia marca o início da segunda guerra mundial onde milhões de pessoas foram mortas e torturadas.,1,2,-1
Puta que pariu,1,3,-1
Só um doente para achar que isso é motivo para comemorar....não cansa de passar vergonha acho que as aulas pelo you tube não estão funcionando.,1,1,-1
Gente burra não sabe o que é ato solene isso não é comemoração é um ato que lembra o fato é homenageia os refugiados da Polônia no Brasil pesquisa antes de fala merda,1,2,-1
Lamento sua pequenez...,1,1,-1
"Até pelos comentários, a gente percebe quem é normal e quem é esquerdopata... Por que será né?",1,2,5
Tortura hahaha,1,1,-1
"Vai tomar no seu cu milicianos, isso é inveja do PT",1,3,5
NAZISTINHA ESCROTO DO CARALHO,1,3,-1
"SOS UNA BASURA BOLSONARO, DAS TANTO ASCO!!",1,2,-1
😷vas a terminar con nuestro planeta!!!,1,1,-1
Seu pai é um safado,1,2,-1
Enfermo culiao hijo de la maraca sopla moco te va hace brujería xuxetumsre,1,3,-1
Deje el ego que usted no es más que el Amazonas reciba la plata que usted no es nada el Amazonas es algo,1,1,-1
"Amazonia is burning. It's a national treasure and it provides oxygen for the entire world. Bolsonaro is incredibly childish and his reactions are so inappropriate. If he cares about Brazil, he would care about Amazonia and people who depends on it.",1,1,-1
Que faz este cara ainda morando fora da prisão？,1,1,-1
Eduardo é moleque !,1,1,-1
Colonialista di merda,1,3,5
Testa di cazzo muori,1,2,-1
Tu e la tua politica di merda,1,2,-1
Vai a farti tu e ste foto del cazzo e a cui nessuno frega un cazzo,1,3,-1
"Your words are like gasoline , and You put out 🔥 with gasoline.😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱 🔥 rainforest.",1,1,-1
"Grande bosta se seu pai fica demorando pra vetar o abuso de autoridade e pra mandar o exercito no congresso, grande bosta essas coisas",1,1,-1
*Carlos Vereza (ator)*,1,2,-1
Selvaaaaaaa 🇧🇷👏,1,1,-1
Selva 🇧🇷,1,1,-1
É isso família Bolsonaro. Aposto que foi farinha do msm saco do macron que ateou fogo na Amazônia pra atacar o governo. Vamos nos preparar pois bendita será a nação que teme ao Senhor. Macron que va se f****,1,3,-1
"aí sim em capita, quem quiser comer meu cusinho só chame 🔥🔥",1,3,-1
"Isso aí sim e postura de criança em ensino 👏🏻👏🏻 Não aquela lacracao de criança usando shortinho dançando funk ameaçando professor em sala de aula , como a esquerda incentivou os últimos 15 anos . #BolsonaroNeles 😎👉🏻👉🏻",1,1,5
"Que coisa linda a gente não conhecia, ISSO Políticos LADROES NEM IMAGINAVAM QUE, EXISTIAM TANTOS, PORQUE ???, sabia se um entrasse alguém do exercito deu no que deu, tirar verbas de Vagabundos , PARA SOBRAR PARA O BRASIL, E TEM MULAS QUE AINDA FALAM EM ESQUERDA MEU DEUS AS BURRiCES ESTÃO VENDO A REALIDADE E NÃO ACEITAM , CRIMES INVADINDO OS RESPONSÁVEIS PELO BRASIL, ATÉ ISSO ACORDARAM , NINGUÉM QUE VIROU P ESQUERDA FINGIRAM EM NAIO ENTENDER , BANDIDOS AGINDO JUNTOS COM 0S BANDIDOS DA ESQUERDA E PCC VIU COM QUEM ESSAS MULAS QUETEM QUE FOCAM NO BRASIL????",1,3,5
"dessa vez ninguém quebrou a mesa, né? vaza daqui playboy filho da puta",1,3,-1
"Muita saúde João gordo,mas não se mistura com esse tipo de gente se não vc se contamina.esses petralhada não prestam",1,2,5
@miqueiasmonteiro e a do seu presiBozo de ir p o manicômio! Fdp,1,3,-1
"@ronaldosnascimento1_ Mas tu é baixo nível, né cara? Dá dó!",1,1,-1
"@guilhermeribeiro7735 Vai se instruir um pouco! Caia fora, aqui ñ é lugar para pessoas como vc",1,1,-1
@ricardobedendo Vc ainda ñ caiu fora? Va seguir seu jegue!,1,1,-1
@jose1ete nem pra isso ele tem competencia! Ô medão!,1,1,-1
Fala bandidão,1,2,-1
