id,comentario,anotator1,anotator2,anotator3,label_final,links_post,account_post
51,Realmente a hipocrisia está estampada na cara de pau 👎👎👎👎,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
52,Ridícula vai cuidar da sua vida,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
53,Deve ter pena dela quando descobrir os podre dela essa imoral,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
54,Velha cretina,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
55,"Da esquerda não se aproveita nada, seja ela de qualquer país!",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
56,Horrorosa vaca suja,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
57,"Pena eu não tenho de vc corrupta, qdo for presa 👊",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
58,Hipocrisia esquerdopata oportunista,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
59,E nós sentimos ranço dela! Ela pode guardar a pena dela pra ela na mesma conta que o Lula mandou o dinheiro.,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
60,🇧🇷💪💪💪Bandidagem safados Globolixo globonewslixo mídia lixo nojenta apátridas,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
61,Falsa!!!! Que nem nota de $30!!!!🤪🤪🤪,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
62,Esquerdista ordinária e safada,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
63,"Enquanto a Bachelet comia toco do PT, estava caladinha.",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
64,Safada sem vergonha ! Velha asquerosa !🤮,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
65,Quem é essa ? Vai te catar...,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
66,Lixo ideológico,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
67,"Esses ""camaradas"" são ""tinhosos dimais"", quando o ""venha a nós"" acaba, começam a criticar, falar mal do ""vosso reino""! Pessoas que agem assim são imbecis para não dizer ""vampiros""!",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
68,Pois é deveria ter pena da própria ignorância.,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
69,"Vagabunda,Ordinária",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
70,"Maldita, quadrilha do PT é grande viu💩💩💩",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
71,Vou mandar um óleo de peroba pra ela de presente! 😂😂😂😂,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
72,Mulherzinha cara de pau🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
73,Porque é corrupta é conivente com o desgoverno anterior,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
74,A cada dia fico mais admirado com a cara de pau da elite dominante desse mundo até quando irão nos fazer de otários,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
75,"Vá ter pena da puta que a pariu, corrupta",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
76,Piada esse tipo de gente !,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
77,"Comunista ladrona, padrão PT pissol PCdoB LULAPRESIDIARIO DILMATERRORISTA",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
78,"Porque Bachelet faz parte da esquerda Hipócrita da América latina. Pergunte se ela tem pena de Cuba, Nicarágua ou da Venezuela. #MicheleBacheletHipócrita",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
79,"Vai te catar ,cuida do teu país,o Brasil tem quem cuide🙏🇧🇷",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
80,Canalha vagabunda amiga de ditaduras,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
81,Essa gentalha tirando uma de vítima. Vão derrubar Já já. Coitados. Deus é Deus!,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
82,Sua TONTA SAFADA,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
83,Mentirosa enganadora 👎👎👎,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
84,Cachorra safada o Brasil tá sob nova direção,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
85,"A mim ela eh similar aquelas moças que ficam na rodovia que trocam ""serviços"" por $. Sem tirar nem por...",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
86,#foracomunismosocialismo🤬😠😡👊👊👊,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
87,Aff ranso desses corruptos,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
88,Bandida como todos esquerdopatas,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
89,Senhora Michele Bachelet! Com todo o respeito. Vai a merda.,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
90,"Velha cretina, vai cuidar do seu país..ah não te querem lá. Então vai pro inferno coisa ruim.",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
91,Toma distraída!!!,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
92,Velha idiota comunista e corrupta .,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
93,Demagoga se locupletando com dinheiro de propina,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
94,Porque é bandida igualmente a o presidiário cachaceiro do Lula,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
95,Eu tenho pena é de você não ter sido da época do grande General Pinochet que lamentavelmente deixou sobrar este resquício de desgraça.,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
96,Cai fora o Brasil não precisa de você,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
97,tá se revelando! corrupta ...nesse governo a gente tá realmente vendo quem é honesto e quem no presta!,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
98,Falou...Bacheria. . ...Brcelet.... ou seja lá como queira ser chamada sua raposa velhaca.,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
99,Bandidona e pilantrona o leitinho acabou,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
100,Hipooooooócrita essa senhoura...,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
101,Exato! Ela é um escrota!,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
102,Outra pilantra!,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
103,Farinha do mesmo saco nojo desses políticos,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
104,Essa senhora é uma currupta igual seus amiguinhos do PT.,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
105,"Cada coisa que aparece!!! Internacionarizaram a propina e a corrupção!!! Agora tem pena do Brasil, tem que ter pena dela mesmo, afinal ficou sem os recursos ilícitos!!!",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
106,Devolva o dinheiro,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
107,Pq. ELa é SAFADA igual ao 9 dedos. 😲😲,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
108,Terrorista FDP,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
109,Sem noção sobre o Brasil e uma corrupta 👎👎👿👿👿,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
110,Pena dessa senhorinha...,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
111,"Houve um tempo atrás que o Brasil recebeu milhares de chilenos, que veio arrumar emprego aqui no Brasil e os brasileiros os receberam de braços abertos, mas, o mundo e o povo é assim esquece rápido o bem que o outro fez! Mas, essa comunista está se achando, mas, é uma tremenda corrupta.",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
112,"VOCÊ TINHA DE TER PENA É QUANDO VÁRIOS BRASILEIROS MORRERAM NOS CORREDORES DOS HOSPITAIS PÚBLICOS POR CAUSA DAS ROUBALHEIRAS DOS CURRUPTOS, MAS VOCÊ VELHA CANALHA TAMBÉM FAZIA PARTE DO ESQUEMA SEGUNDO Á OAS 🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀🐀.",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
113,"Pois é, nojenta!!",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
114,Quem quer saber oq vc pensa comunista corrupta vc deveria estar na cadeia !,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
115,"Enfia a sua pena no seu rabo, velha nojenta",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
116,A única coisa que no momento a esquerda faz é rosnar!!,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
117,OQUE BACHELE FALA NÃO TEM VALOR!!! KKKK A PESSOA QUE SE ENVOLVE COM MARACUTAIA PARA ROUBAR UM POVO PERDE SEU VALOR E PRONTO ACABOU!!!,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
118,"Ela que cuidado quintal da própria casa, já que está sujos com dinheiro de propina!!",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
119,"A resposta para um senhora desse , já que o dinheiro não vai ser devolvido. É um grande VA SE LASCAR, esquece o BRASIL e vá cuidar dos seus problemas",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
120,"JA DIZIA O SANTO JOÃO BATISTA:""HIPOCRITAS!!!!! RAÇA DE VIBORAS!!!ENDIREITAI OS CAMINHOS.O Messias vem",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
121,Nossa mostre sua compaixão devolvendo o dinheiro que recebeu do MOLUSCO,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
122,"Essa safada... Dinheiro ela gosta né? Não tem ""pena"" de roubar do Brasil!",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
123,"Ah tá com pena?!Diz para ela vim doar alimento e roupas para os asilos,orfanatos e desabrigados ,hospitais que por conta das propinas que receberam esses lugares estão com deficiência de tudo,isso PR não mandar ele para Vênus!!",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
124,"Sim, ela tem penas.......com certeza",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
125,OH BACHELET RECEBEU PROPINA DA OAS ENTÃO NÓS BRASILEIROS PATRIOTAS ESTAMOS ENTENDENDO A SUA TRISTESA ACABOU A SUA MAMATA CANALHAS,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
126,"PORQUE É PORCA DO MESMO LODO,",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
127,Essa Brochelet tem cara de corrupta da quadrilha lulaladrão.,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
128,Secou a fonte pilantra. Devia estar na cadeia. Esquerdista cara de pau,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
129,ACABOU A MAMATAAA!!!✨🇧🇷✨,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
130,Velha ridícula e bandida!! Parece uma porca,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
131,CLARO QUE TEM PENA PORQUE ELA JUNTO COM O LULADRÃO SUGARAM O POVO DEVERIA TER VERGONHA NA CARA E DEVOLVER O DINHEIRO QUE LEVOU,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
132,"Esquerdopatas mentem para ver se vira verdade, isso é o lema deles.",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
133,SÓ SENTE PENA SE FOR REMUNERADA PRA ISSO...NÃO PRECISAMOS QUE ESSA GENTE SINTAM PENA DO NOSSO PAÍS...E SIM QUE SE AFASTEM DELE E DO NOSSO DINHEIRO...,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
134,Sim porque??? É muita hipocrisia. E a propina...,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
135,Ta com pena? Devolve a propina,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
136,Comunista hipócrita nojento lixos,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
137,POIS É DEVERIA DEVOLVER O DINHEIRO AOS COFRES PÚBLICOS DO Brasil.,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
138,Outra canalha.,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
139,Porque ela não era “paga” pra sentir pena e sim para contribuir e usufruir dos roubos.,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
140,essa imbecil falando e o cachorro cagando e a mesma coisa,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
141,Pois ela é uma sem vergonha😩,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
142,Esse povo de esquerda é asqueroso e corruptos,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
143,Que cara CÍNICA,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
144,"Pois é @carla.zambelli esta senhora pena do Brasil .... ela tem é sangue nas mãos de uma nação pois dinheiro de corrupção mata cidadão de bem dinheiro este que é desviado de segurança, saúde e educação esse tipo de gente classifico como genocida pois acabam com nações inteiras por um ideal onde eles ficam ricos dominam as pessoas como escravos ... diria que até pior que terroristas pois terroristas matam em nome da “religião” não que algo justifique mas chega ser pior ... corruptos safados ....😡😡😡😡 que Deus nos livre desta cambada que articula em tempo integral a nova destruição ...🙏🇧🇷🇧🇷🇧🇷🇧🇷",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
145,Propineira com pena pq a mamata acabou.... 🤮🤮,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
146,Ela tem pena agora pq não tá recebendo mais propinas. Bandida.,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
147,Cala essa boca sua vaca velha vai para Venezuela,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
148,Porque é bandido da organização criminosa do luladrao. Não aceita nosso presidente Bolsonaro. E melhor aceita que dói menos😂,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
149,"E uma coitada , não tem credibilidade aqui nao",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
150,"Que lixo, heim????",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
151,Mande essa nojenta pra Cuba.,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
152,Parece que para atuar na #ONU precisa ter postura e comportamento #desprezível #hipócrita #falsidade.,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
153,@veronica_michelle_bachelett e a propina recebida pela OAS teve pena quando recebeu? #hipocrita #oportunista #voltapromaroferenda,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
154,Vagabunda ordinária velha dó capeta vai cuidar da sua bunda velha esclerosada,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
155,"Ela não teve pena do Brasil quando Cuba ininteruptamente tentou interferir na nossa democracia. Amiga de comunistas sujos. Amiga de Fidel Castro, um rato ditador e assassino que hoje ocupa um cargo na ONU que não condiz com seu caráter e nem com suas convicções políticas.",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
156,O BRASIL ESTÁ COM BOLSONARO. VAI PARA A VENEZUELA. LIXO.,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
157,Porque ela é uma ladra morfética,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
158,Barchelet vai catar coco . Esquece nosso povo.,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
159,DONA BACHELET A SENHORA DEVIA TER PENA E VERGONHA NA CARA VIM ROUBAR DINHEIRO DO POVO BRASILEIRO QUE FALTA DE VERGONHA SENHORA BACHELET,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
160,Ou quando o Brasil estava sendo saqueado pelo PT? ?,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
161,Safada !! ONU não vale nada!!,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
162,Essa vagabunda devia ter pena é da propina que ela levou que tirou de um hospital inteiro do Brasil,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
163,Esquerdista dos inferno.,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
164,"Sai fora vaga, vagaba",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
165,Uma safada sem caráter.,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
166,Essa aí é uma maior 171,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
167,Que ela enfie a pena dela no $%$@&^ ... devolva nosso dinheiro isso sim. 🤔🤔,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
168,Essa ja fez parte da quadrilha,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
169,Hipócrita esta senhorinha bachelet,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
170,Sem vergonha trate do seu País o nosso temos Bolsonaro@,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
171,Porquê ela é uma velha escrota de MERDA.. só isso,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
172,Que devolva a propina e pare de se meter onde nao foi chamada brachelenta!,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
173,"Vagabunda, roubou o Brasil agora tá com pena, vá se fuder",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
174,"Pena porque não vai mais roubar nosso Brasil, sua quenga velha",1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
175,Conheco uma vagabunda de longe!!! 💩💩💩,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
176,Pilantra vadia,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
177,Que devolva o dinheiro 💰,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
178,Vagabunda fingida...,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
179,Bachelet está com pena é dela não receber mais dindin dos nossos impostos. Hipócrita corrupta!...😎😎😎😎,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
180,Hipocrisia Pura😡😡,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
181,Veia safada.,1,1,1,1,https://www.instagram.com/p/B2uThqdH9xI/,Carla Zambelli
