comentario,label final,normalized_text,rationales_offensive_1_normalized,rationales_offensive_2_normalized,rationales_offensive_1,links_post,rationales_offensive_2
Oportunista essa corrupta.Agora todos os Comunistas querem se fazer de vítimas.,1.0,oportunista essa corrupta agora todos os comunistas querem se fazer de vítimas,"['oportunista', 'corrupta', 'os comunistas querem se fazer de vítimas']",['oportunista essa corrupta'],Oportunista; corrupta; os Comunistas querem se fazer de vítimas,https://www.instagram.com/p/B2uThqdH9xI/,oportunista essa corrupta
Porque é uma bandida,1.0,porque é uma bandida,['bandida'],['porque é uma bandida'],bandida,https://www.instagram.com/p/B2uThqdH9xI/,porque é uma bandida
Mentem e roubam..... Não vai mais mamar.....,1.0,mentem e roubam não vai mais mamar,"['mentem e roubam', 'não vai mais mamar']","['mentem e roubam', 'não vai mais mamar']",Mentem e roubam; Não vai mais mamar,https://www.instagram.com/p/B2uThqdH9xI/,Mentem e roubam; Não vai mais mamar;
Tudo igual. Só pensam no próprio rabo,1.0,tudo igual só pensam no próprio rabo,['só pensam no próprio rabo'],['só pensam no próprio rabo'],Só pensam no próprio rabo,https://www.instagram.com/p/B2uThqdH9xI/,Só pensam no próprio rabo
Plano da esquerda foi é e será sempre críticar não nunca teve um plano de governo único plano era como roubar .,1.0,plano da esquerda foi é e será sempre criticar não nunca teve um plano de governo único plano era como roubar,"['plano da esquerda foi é e será sempre criticar', 'único plano era como roubar']","['nunca teve um plano de governo', 'o único plano era como roubar']",Plano da esquerda foi é e será sempre críticar; único plano era como roubar,https://www.instagram.com/p/B2uThqdH9xI/,nunca teve um plano de governo; o único plano era como roubar 
"Guarde sua ""pena"" ...nos da ânsia de vômito",1.0,guarde sua pena nos da ânsia de vômito,['nos da ânsia de vômito'],['nos dá ânsia de vômito'],nos da ânsia de vômito,https://www.instagram.com/p/B2uThqdH9xI/,nos dá ânsia de vômito
Quem não têm caráter é contra o presidente Bolsonaro,1.0,quem não têm caráter é contra o presidente bolsonaro,['não têm caráter'],['quem não têm caráter é contra o presidente bolsonaro'],não têm caráter,https://www.instagram.com/p/B2uThqdH9xI/,Quem não têm caráter é contra o presidente Bolsonaro
O problema dela é que a tetinha secou,1.0,o problema dela é que a teta secou,['teta secou'],['teta secou'],tetinha secou,https://www.instagram.com/p/B2uThqdH9xI/,tetinha secou
Será que alguém em sã consciência ainda vai acreditar nesta farsante? Não acredito em um fio do seu cabelo pintado.,1.0,será que alguém em sã consciência ainda vai acreditar nesta farsante não acredito em um fio do seu cabelo pintado,['ainda vai acreditar nesta farsante não acredito em um fio do seu cabelo pintado'],"['ainda vai acreditar nesta farsante', 'não acredito em um fio do seu cabelo pintado']",ainda vai acreditar nesta farsante? Não acredito em um fio do seu cabelo pintado,https://www.instagram.com/p/B2uThqdH9xI/,ainda vai acreditar nesta farsante; não acredito em um fio do seu cabelo pintado
Ela tem cara de homem né? Macron deve achar gata,1.0,ela tem cara de homem não é macron deve achar gata,['ela tem cara de homem não é'],['ela tem cara de homem não é'],Ela tem cara de homem né?,https://www.instagram.com/p/B2uThqdH9xI/,Ela tem cara de homem né?
É uma cara de pau mesmo... 😡,1.0,é uma cara de pau mesmo,['cara de pau'],['é uma cara de pau mesmo'],cara de pau,https://www.instagram.com/p/B2uThqdH9xI/,É uma cara de pau mesmo
Nojo dessa pilantra,1.0,nojo dessa pilantra,['nojo dessa pilantra'],['nojo dessa pilantra'],Nojo dessa pilantra,https://www.instagram.com/p/B2uThqdH9xI/,nojo dessa pilantra
Olha ai a hipocrisia dessa mulher,1.0,olha ai a hipocrisia dessa mulher,['hipocrisia'],['a hipocrisia dessa mulher'],hipocrisia,https://www.instagram.com/p/B2uThqdH9xI/,a hipocrisia dessa mulher
"Joga uma carteira de trabalho que correm todos, na verdade não gostam de trabalhar só sabem roubar o brasil",1.0,joga uma carteira de trabalho que correm todos na verdade não gostam de trabalhar só sabem roubar o brasil,['não gostam de trabalhar só sabem roubar o brasil'],"['não gostam de trabalhar', 'só sabem roubar o brasil']",não gostam de trabalhar só sabem roubar o brasil,https://www.instagram.com/p/B2uThqdH9xI/,não gostam de trabalhar; só sabem roubar o brasil;
Velha idiota.,1.0,velha idiota,['velha idiota'],['velha idiota'],Velha idiota.,https://www.instagram.com/p/B2uThqdH9xI/,Velha idiota
Outra bandida ...,1.0,outra bandida,['bandida'],['outra bandida'],bandida,https://www.instagram.com/p/B2uThqdH9xI/,Outra bandida
BACHELETA DA TRETA E MUTRETA CHILENA..CANALHA SAPATONA.. BICHELETA..,1.0,bacheleta da treta e mutreta chilena canalha sapata bicheleta,"['bacheleta da treta e mutreta', 'canalha sapata', 'bicheleta']","['treta e mutreta', 'canalha sapata']",BACHELETA DA TRETA E MUTRETA; CANALHA SAPATONA; BICHELETA,https://www.instagram.com/p/B2uThqdH9xI/,TRETA E MUTRETA; CANALHA SAPATONA;
Ridícula nojenta,1.0,ridícula nojenta,['ridícula nojenta'],['ridícula nojenta'],Ridícula nojenta,https://www.instagram.com/p/B2uThqdH9xI/,Ridícula nojenta
"hipocrisia, mal do seculo: falta de caráter geral. Ser humano não deu certo.",1.0,hipocrisia mal do século falta de caráter geral ser humano não deu certo,"['hipocrisia', 'falta de caráter', 'ser humano não deu certo']","['hipocrisia mal do século', 'falta de caráter geral']",hipocrisia; falta de caráter; Ser humano não deu certo.,https://www.instagram.com/p/B2uThqdH9xI/,"hipocrisia, mal do seculo; falta de caráter geral; "
"Isso é uma realidade da imbecilidade humana, não tem moral prá nada...",1.0,isso é uma realidade da imbecilidade humana não tem moral pra nada,"['imbecilidade', 'não tem moral pra nada']","['imbecilidade humana', 'não tem moral pra nada']",imbecilidade; não tem moral prá nada,https://www.instagram.com/p/B2uThqdH9xI/,imbecilidade humana; não tem moral prá nada
E eu tenho pena de vc sua ridícula.,1.0,e eu tenho pena de você sua ridícula,['tenho pena de você sua ridícula'],['e eu tenho pena de você sua ridícula'],tenho pena de vc sua ridícula.,https://www.instagram.com/p/B2uThqdH9xI/,E eu tenho pena de vc sua ridícula.
"Eu tenho pena do Brasil, pois com o PT no poder todos os corruPTos do mundo tiraram vantagem das nossas riquezas. Inclusive essa hipócrita amiga da Dilma.🤔",1.0,eu tenho pena do brasil pois com o parte no poder todos os corruptos do mundo tiraram vantagem das nossas riquezas inclusive essa hipócrita amiga da dilma,"['com o parte no poder todos os corruptos do mundo tiraram vantagem das nossas riquezas', 'hipócrita']","['eu tenho pena do brasil', 'essa hipócrita amiga da dilma', 'tiraram vantagem das nossas riquezas']",com o PT no poder todos os corruPTos do mundo tiraram vantagem das nossas riquezas; hipócrita,https://www.instagram.com/p/B2uThqdH9xI/,Eu tenho pena do Brasil; essa hipócrita amiga da Dilma; tiraram vantagem das nossas riquezas
Óleo de peroba pra lustrar a cara de pau!,1.0,óleo de peroba pra lustrar a cara de pau,['óleo de peroba pra lustrar a cara de pau'],['óleo de peroba pra lustrar a cara de pau'],Óleo de peroba pra lustrar a cara de pau,https://www.instagram.com/p/B2uThqdH9xI/,Óleo de peroba pra lustrar a cara de pau!
"Mentir e roubar. Tudo que os comunistas sabem fazer. Trabalhar e produzir alguma coisa, jamais.",1.0,mentir e roubar tudo que os comunistas sabem fazer trabalhar e produzir alguma coisa jamais,"['mentir e roubar', 'os comunistas sabem fazer', 'trabalhar e produzir alguma coisa jamais']","['mentir e roubar', 'trabalhar e produzir alguma coisa jamais']","Mentir e roubar; os comunistas sabem fazer; Trabalhar e produzir alguma coisa, jamais.",https://www.instagram.com/p/B2uThqdH9xI/,"mentir e roubar; trabalhar e produzir alguma coisa, jamais"
"Velha barriguda d bem folgada, heim?🧐🤔😤",1.0,velha barriguda de bem folgada heim,['velha barriguda de bem folgada'],"['velha barriguda', 'bem folgada']",Velha barriguda d bem folgada,https://www.instagram.com/p/B2uThqdH9xI/,"Velha barriguda; bem folgada,"
"Esquerdista agora fala em democracia porque levou uma surra no voto, assim como vagabundo jura por Deus depois de um tapa na lateral.🤣",1.0,esquerdista agora fala em democracia porque levou uma surra no voto assim como vagabundo jura por deus depois de um tapa na lateral,"['esquerdista agora fala em democracia', 'levou uma surra no voto', 'vagabundo']",['esquerdista agora fala em democracia'],Esquerdista agora fala em democracia; levou uma surra no voto; vagabundo,https://www.instagram.com/p/B2uThqdH9xI/,Esquerdista agora fala em democracia
Aí a ganância falou mais alto... corrupta!,1.0,aí a ganância falou mais alto corrupta,"['ganância falou mais alto', 'corrupta']","['aí a ganância falou mais alto', 'corrupta']",ganância falou mais alto; corrupta,https://www.instagram.com/p/B2uThqdH9xI/,Aí a ganância falou mais alto; corrupta;
Nojo 🙈🙉🙊sempre assim,1.0,nojo sempre assim,['nojo'],['nojo'],Nojo,https://www.instagram.com/p/B2uThqdH9xI/,Nojo
Devolve o dinheiro roubado via OAS...,1.0,devolve o dinheiro roubado via odebrecht,['devolve o dinheiro roubado'],['devolve o dinheiro roubado via odebrecht'],Devolve o dinheiro roubado,https://www.instagram.com/p/B2uThqdH9xI/,Devolve o dinheiro roubado via OAS...
Mais uma esquerdista ridícula💩💩,1.0,mais uma esquerdista ridícula,['ridícula'],['mais uma esquerdista ridícula'],ridícula,https://www.instagram.com/p/B2uThqdH9xI/,Mais uma esquerdista ridícula
Isso não passa de uma mera oportunista! #michelebachelet #oas não passa de uma múmia esquerdista ainda em atividade minha querida @carla.zambelli . Obrigado pelas informações de sempre 🇧🇷💙,1.0,isso não passa de uma mera oportunista michelebachelet oas não passa de uma múmia esquerdista ainda em atividade minha querida carla paschoal obrigado pelas informações de sempre,"['mera oportunista', 'não passa de uma múmia esquerdista ainda em atividade']","['uma mera oportunista', 'uma múmia esquerdista ainda em atividade']",mera oportunista; não passa de uma múmia esquerdista ainda em atividade,https://www.instagram.com/p/B2uThqdH9xI/,uma mera oportunista; uma múmia esquerdista ainda em atividade;
Rapariga de cego ! Quem essa vagabunda pensa que é pra dar pitaco aqui dentro ! Vagabunda,1.0,rapariga de cego quem essa vagabunda pensa que é pra dar opinando aqui dentro vagabunda,"['rapariga de cego', 'quem essa vagabunda pensa que é pra dar opinando aqui dentro', 'vagabunda']","['rapariga de cego', 'quem essa vagabunda pensa que é', 'vagabunda']",Rapariga de cego; Quem essa vagabunda pensa que é pra dar pitaco aqui dentro; Vagabunda,https://www.instagram.com/p/B2uThqdH9xI/,Rapariga de cego; Quem essa vagabunda pensa que é; Vagabunda
Bachelet vc como todo bom esquerdista é uma hipócrita. Tenha pena de vc e do seu povo.,1.0,bachelet você como todo bom esquerdista é uma hipócrita tenha pena de você e do seu povo,['como todo bom esquerdista é uma hipócrita'],['você como todo bom esquerdista é uma hipócrita'],como todo bom esquerdista é uma hipócrita,https://www.instagram.com/p/B2uThqdH9xI/,vc como todo bom esquerdista é uma hipócrita
Q mulher ordinária,1.0,que mulher ordinária,['mulher ordinária'],['que mulher ordinária'],mulher ordinária,https://www.instagram.com/p/B2uThqdH9xI/,Q mulher ordinária
"Realmente, uma verdadeira hipócrita!",1.0,realmente uma verdadeira hipócrita,['verdadeira hipócrita'],['uma verdadeira hipócrita'],verdadeira hipócrita,https://www.instagram.com/p/B2uThqdH9xI/,uma verdadeira hipócrita
Simples... São canalhas que amam o dinheiro do povo. 👊🏾 🇧🇷 Acabou pra eles aí ficam nesta choradeira de 🚮. Esgoto... Lama podre. Isso eh o comunismo. Povo na merda é eles de boa. Canalhas! 👊🏾,1.0,simples são canalhas que amam o dinheiro do povo acabou pra eles aí ficam nesta choradeira de esgoto lama podre isso é o comunismo povo na merda é eles de boa canalhas,"['canalhas que amam o dinheiro do povo', 'esgoto', 'lama podre', 'comunismo', 'povo na merda é eles de boa', 'canalhas']","['canalhas', 'amam o dinheiro do povo', 'povo na merda é eles de boa', 'esgoto', 'lama podre']",canalhas que amam o dinheiro do povo; Esgoto; Lama podre; comunismo; Povo na merda é eles de boa; Canalhas,https://www.instagram.com/p/B2uThqdH9xI/,canalhas; amam o dinheiro do povo; povo na merda é eles de boa; esgoto; lama podre; 
Pq é uma vaca.,1.0,porque é uma vaca,['vaca'],['porque é uma vaca'],vaca,https://www.instagram.com/p/B2uThqdH9xI/,Pq é uma vaca
Porca asquerosa🤮🤮🤮,1.0,porca asquerosa,['porca asquerosa'],['porca asquerosa'],Porca asquerosa,https://www.instagram.com/p/B2uThqdH9xI/,Porca asquerosa
Realmente a hipocrisia está estampada na cara de pau 👎👎👎👎,1.0,realmente a hipocrisia está estampada na cara de pau,['hipocrisia está estampada na cara de pau'],"['hipocrisia está estampada', 'cara de pau']",hipocrisia está estampada na cara de pau,https://www.instagram.com/p/B2uThqdH9xI/,hipocrisia está estampada; cara de pau
Ridícula vai cuidar da sua vida,1.0,ridícula vai cuidar da sua vida,"['ridícula', 'vai cuidar da sua vida']","['ridícula', 'vai cuidar da sua vida']",Ridícula; vai cuidar da sua vida,https://www.instagram.com/p/B2uThqdH9xI/,ridícula; vai cuidar da sua vida
Deve ter pena dela quando descobrir os podre dela essa imoral,1.0,deve ter pena dela quando descobrir os podre dela essa imoral,"['quando descobrir os podre dela', 'essa imoral']","['descobrir o podre dela', 'essa imoral']",quando descobrir os podre dela; essa imoral,https://www.instagram.com/p/B2uThqdH9xI/,descobrir o podre dela; essa imoral; 
Velha cretina,1.0,velha cretina,['velha cretina'],['velha cretina'],Velha cretina,https://www.instagram.com/p/B2uThqdH9xI/,velha cretina
"Da esquerda não se aproveita nada, seja ela de qualquer país!",1.0,da esquerda não se aproveita nada seja ela de qualquer país,['da esquerda não se aproveita nada'],['da esquerda não se aproveita nada'],Da esquerda não se aproveita nada,https://www.instagram.com/p/B2uThqdH9xI/,Da esquerda não se aproveita nada
Horrorosa vaca suja,1.0,horrorosa vaca suja,"['horrorosa', 'vaca', 'suja']","['horrorosa', 'vaca suja']",Horrorosa; vaca; suja,https://www.instagram.com/p/B2uThqdH9xI/,horrorosa; vaca suja
"Pena eu não tenho de vc corrupta, qdo for presa 👊",1.0,pena eu não tenho de você corrupta quando for presa,['pena eu não tenho de você corrupta'],"['corrupta', 'quando for presa']",Pena eu não tenho de vc corrupta ,https://www.instagram.com/p/B2uThqdH9xI/,corrupta; qdo for presa
Hipocrisia esquerdopata oportunista,1.0,hipocrisia esquerdista oportunista,"['hipocrisia', 'esquerdista', 'oportunista']","['hipocrisia', 'oportunista', 'esquerdista']",Hipocrisia; esquerdopata; oportunista,https://www.instagram.com/p/B2uThqdH9xI/,hipocrisia; oportunista; esquerdopata
E nós sentimos ranço dela! Ela pode guardar a pena dela pra ela na mesma conta que o Lula mandou o dinheiro.,1.0,e nós sentimos ranço dela ela pode guardar a pena dela pra ela na mesma conta que o lula mandou o dinheiro,"['nós sentimos ranço dela', 'pode guardar a pena', 'mandou o dinheiro']","['e nós sentimos ranço dela', 'ela pode guardar a pena dela pra ela na mesma conta que o lula mandou o dinheiro']",nós sentimos ranço dela; pode guardar a pena; mandou o dinheiro,https://www.instagram.com/p/B2uThqdH9xI/,e nós sentimos ranço dela; ela pode guardar a pena dela pra ela na mesma conta que o Lula mandou o dinheiro;
🇧🇷💪💪💪Bandidagem safados Globolixo globonewslixo mídia lixo nojenta apátridas,1.0,bandidagem safados globolixo globonewslixo mídia lixo nojenta apátridas,"['bandidagem', 'safados', 'globolixo', 'globonewslixo', 'mídia lixo', 'nojenta', 'apátridas']","['safados', 'globolixo', 'globonewslixo', 'mídia lixo', 'nojenta', 'bandidagem', 'apátridas']",Bandidagem; safados; Globolixo; globonewslixo; mídia lixo; nojenta; apátridas,https://www.instagram.com/p/B2uThqdH9xI/,safados; globolixo; globonewslixo; mídia lixo; nojenta; bandidagem; apátridas;
Falsa!!!! Que nem nota de $30!!!!🤪🤪🤪,1.0,falsa que nem nota de 30,"['falsa', 'que nem nota de 30']","['falsa', 'que nem nota de 30']",Falsa; Que nem nota de $30,https://www.instagram.com/p/B2uThqdH9xI/,falsa; que nem nota de $30;
Esquerdista ordinária e safada,1.0,esquerdista ordinária e safada,"['ordinária', 'safada']","['ordinária', 'safada']",ordinária; safada,https://www.instagram.com/p/B2uThqdH9xI/,ordinária; safada;
"Enquanto a Bachelet comia toco do PT, estava caladinha.",1.0,enquanto a bachelet comia toco do parte estava caladinha,['enquanto a bachelet comia toco do parte estava caladinha'],['comia toco do parte'],"Enquanto a Bachelet comia toco do PT, estava caladinha",https://www.instagram.com/p/B2uThqdH9xI/,comia toco do PT
Safada sem vergonha ! Velha asquerosa !🤮,1.0,safada sem vergonha velha asquerosa,"['safada sem vergonha', 'velha asquerosa']","['safada', 'sem vergonha', 'velha asquerosa']",Safada sem vergonha; Velha asquerosa,https://www.instagram.com/p/B2uThqdH9xI/,safada; sem vergonha; velha asquerosa;
Quem é essa ? Vai te catar...,1.0,quem é essa vai te catar,['vai te catar'],['vai te catar'],Vai te catar,https://www.instagram.com/p/B2uThqdH9xI/,vai te catar
Lixo ideológico,1.0,lixo ideológico,['lixo ideológico'],['lixo ideológico'],Lixo ideológico,https://www.instagram.com/p/B2uThqdH9xI/,Lixo ideológico
"Esses ""camaradas"" são ""tinhosos dimais"", quando o ""venha a nós"" acaba, começam a criticar, falar mal do ""vosso reino""! Pessoas que agem assim são imbecis para não dizer ""vampiros""!",1.0,esses camaradas são tinhosos demais quando o venha a nós acaba começam a criticar falar mal do vosso reino pessoas que agem assim são imbecis para não dizer vampiros,"['tinhosos demais', 'são imbecis para não dizer vampiros']","['imbecis', 'vampiros']","tinhosos dimais; são imbecis para não dizer ""vampiros""",https://www.instagram.com/p/B2uThqdH9xI/,imbecis ; vampiros
Pois é deveria ter pena da própria ignorância.,1.0,pois é deveria ter pena da própria ignorância,['deveria ter pena da própria ignorância'],['pena da própria ignorância'],deveria ter pena da própria ignorância,https://www.instagram.com/p/B2uThqdH9xI/,pena da própria ignorância
"Vagabunda,Ordinária",1.0,vagabunda ordinária,"['vagabunda', 'ordinária']","['vagabunda', 'ordinária']",Vagabunda; Ordinária,https://www.instagram.com/p/B2uThqdH9xI/,vagabunda; ordinária
"Maldita, quadrilha do PT é grande viu💩💩💩",1.0,maldita quadrilha do parte é grande viu,"['maldita', 'quadrilha do parte']","['maldita', 'quadrilha do parte']",Maldita; quadrilha do PT,https://www.instagram.com/p/B2uThqdH9xI/,maldita; quadrilha do PT
Vou mandar um óleo de peroba pra ela de presente! 😂😂😂😂,1.0,vou mandar um óleo de peroba pra ela de presente,['mandar um óleo de peroba pra ela'],['óleo de peroba'],mandar um óleo de peroba pra ela,https://www.instagram.com/p/B2uThqdH9xI/,óleo de peroba
Mulherzinha cara de pau🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮🤮,1.0,mulherzinha cara de pau,"['mulherzinha', 'cara de pau']","['mulherzinha', 'cara de pau']",Mulherzinha; cara de pau,https://www.instagram.com/p/B2uThqdH9xI/,mulherzinha; cara de pau;
Porque é corrupta é conivente com o desgoverno anterior,1.0,porque é corrupta é conivente com o desgoverno anterior,['corrupta é conivente com o desgoverno anterior'],"['porque é corrupta', 'desgoverno anterior']",corrupta é conivente com o desgoverno anterior,https://www.instagram.com/p/B2uThqdH9xI/,Porque é corrupta; desgoverno anterior
A cada dia fico mais admirado com a cara de pau da elite dominante desse mundo até quando irão nos fazer de otários,1.0,a cada dia fico mais admirado com a cara de pau da elite dominante desse mundo até quando irão nos fazer de otários,['cara de pau da elite dominante desse mundo até quando irão nos fazer de otários'],"['até quando irão nos fazer de otários', 'cara de pau']",cara de pau da elite dominante desse mundo até quando irão nos fazer de otários,https://www.instagram.com/p/B2uThqdH9xI/,até quando irão nos fazer de otários; cara de pau
"Vá ter pena da puta que a pariu, corrupta",1.0,vá ter pena da puta que a pariu corrupta,['puta que a pariu corrupta'],"['vá ter pena da puta que a pariu', 'corrupta']","puta que a pariu, corrupta",https://www.instagram.com/p/B2uThqdH9xI/,Vá ter pena da puta que a pariu; corrupta
Piada esse tipo de gente !,1.0,piada esse tipo de gente,['piada esse tipo de gente'],['piada esse tipo de gente'],Piada esse tipo de gente,https://www.instagram.com/p/B2uThqdH9xI/,Piada esse tipo de gente !
"Comunista ladrona, padrão PT pissol PCdoB LULAPRESIDIARIO DILMATERRORISTA",1.0,comunista ladrona padrão parte pessoal partido lulapresidiario dilmaterrorista,"['comunista ladrona', 'lulapresidiario', 'dilmaterrorista']","['ladrona', 'lulapresidiario', 'comunista', 'dilmaterrorista']",Comunista ladrona; LULAPRESIDIARIO; DILMATERRORISTA,https://www.instagram.com/p/B2uThqdH9xI/,ladrona; LULAPRESIDIARIO; Comunista; DILMATERRORISTA;
"Porque Bachelet faz parte da esquerda Hipócrita da América latina. Pergunte se ela tem pena de Cuba, Nicarágua ou da Venezuela. #MicheleBacheletHipócrita",1.0,porque bachelet faz parte da esquerda hipócrita da américa latina pergunte se ela tem pena de cuba nicarágua ou da venezuela michelebachelethipócrita,['esquerda hipócrita da américa latina'],['esquerda hipócrita da américa latina'],esquerda Hipócrita da América latina,https://www.instagram.com/p/B2uThqdH9xI/,esquerda Hipócrita da América latina; 
"Vai te catar ,cuida do teu país,o Brasil tem quem cuide🙏🇧🇷",1.0,vai te catar cuida do teu país o brasil tem quem cuide,"['vai te catar', 'cuida do teu país']",['vai te catar'],Vai te catar; cuida do teu país,https://www.instagram.com/p/B2uThqdH9xI/,Vai te catar
Canalha vagabunda amiga de ditaduras,1.0,canalha vagabunda amiga de ditaduras,"['canalha', 'vagabunda', 'amiga de ditaduras']","['canalha', 'vagabunda', 'amiga de ditaduras']",Canalha; vagabunda; amiga de ditaduras,https://www.instagram.com/p/B2uThqdH9xI/,canalha; vagabunda; amiga de ditaduras;
Essa gentalha tirando uma de vítima. Vão derrubar Já já. Coitados. Deus é Deus!,1.0,essa gentalha tirando uma de vítima vão derrubar já já coitados deus é deus,"['gentalha tirando uma de vítima', 'vão derrubar já já']","['essa gentalha tirando uma de vítima', 'coitados']",gentalha tirando uma de vítima; Vão derrubar Já já,https://www.instagram.com/p/B2uThqdH9xI/,essa gentalha tirando uma de vítima; coitados;
Sua TONTA SAFADA,1.0,sua tonta safada,"['tonta', 'safada']","['tonta', 'safada']",TONTA; SAFADA,https://www.instagram.com/p/B2uThqdH9xI/,tonta; safada;
Mentirosa enganadora 👎👎👎,1.0,mentirosa enganadora,['mentirosa enganadora'],"['mentirosa', 'enganadora']",Mentirosa enganadora,https://www.instagram.com/p/B2uThqdH9xI/,mentirosa; enganadora;
Cachorra safada o Brasil tá sob nova direção,1.0,cachorra safada o brasil está sob nova direção,['cachorra safada'],"['cachorra', 'safada']",Cachorra safada,https://www.instagram.com/p/B2uThqdH9xI/,cachorra; safada;
"A mim ela eh similar aquelas moças que ficam na rodovia que trocam ""serviços"" por $. Sem tirar nem por...",1.0,a mim ela é similar aquelas moças que ficam na rodovia que trocam serviços por sem tirar nem por,['similar aquelas moças que ficam na rodovia que trocam serviços por'],['similar aquelas moças que ficam na rodovia que trocam serviços por'],"similar aquelas moças que ficam na rodovia que trocam ""serviços"" por $",https://www.instagram.com/p/B2uThqdH9xI/,"similar aquelas moças que ficam na rodovia que trocam ""serviços"" por $"
#foracomunismosocialismo🤬😠😡👊👊👊,1.0,foracomunismosocialismo,['foracomunismosocialismo'],['foracomunismosocialismo'],#foracomunismosocialismo,https://www.instagram.com/p/B2uThqdH9xI/,#foracomunismosocialismo
Aff ranso desses corruptos,1.0,ave maria ranço desses corruptos,"['ranço', 'corruptos']","['ave maria', 'ranço', 'corruptos']",ranso; corruptos,https://www.instagram.com/p/B2uThqdH9xI/,Aff; ranso; corruptos;
Bandida como todos esquerdopatas,1.0,bandida como todos esquerdistas,['bandida como todos esquerdistas'],"['bandida', 'esquerdistas']",Bandida como todos esquerdopatas,https://www.instagram.com/p/B2uThqdH9xI/,bandida; esquerdopatas;
Senhora Michele Bachelet! Com todo o respeito. Vai a merda.,1.0,senhora michele bachelet com todo o respeito vai a merda,['vai a merda'],['vai a merda'],Vai a merda,https://www.instagram.com/p/B2uThqdH9xI/,Vai a merda
